音乐台,#genre#
宝鸡交通旅游,https://ls-open.qingting.fm/live/15318128/64k.m3u8
1046延边旅游生活广播,https://ls-open.qingting.fm/live/5022438/64k.m3u8
遵义旅游生活广播,https://ls-open.qingting.fm/live/5022083/64k.m3u8
贵州旅游广播,https://ls-open.qingting.fm/live/20059/64k.m3u8
海南旅游广播•国际旅游岛之声,https://ls-open.qingting.fm/live/1862/64k.m3u8
FM94厦门旅游广播,https://ls-open.qingting.fm/live/1741/64k.m3u8
FM103.6旅游音乐广播,https://ls-open.qingting.fm/live/20211716/64k.m3u8
龙岩旅游之声,https://ls-open.qingting.fm/live/20711/64k.m3u8
FM102.7西宁城市服务管理广播,https://ls-open.qingting.fm/live/5022284/64k.m3u8
十堰旅游生活广播,https://ls-open.qingting.fm/live/20212401/64k.m3u8
